#,Name,Type,Title,Outlet,Semester
1,"Adedipe, Adebimpe O",Poster Presentation,The Struggle for Schizophrenia Treatment: An Interprofessional Approach. ,XXXVth International Congress on Law and Mental Health.,Summer 2022
114,"Ekelman, Beth A",Poster Presentation,Gardening using a harness system: Participation and Meaning,Society for the Study of Occupation: USA,Summer 2021
115,"Ekelman, Beth A",Proceedings Publication,Conversations that matter: Occupation matters: Returning to Our RoOTs in Hand Therapy,AOTA annual conference,Summer 2021
116,"Ekelman, Beth A",Presentation,Evaluating current trends and building capacity for occupation-based interventions in the hand therapy setting,Canadian Occupational Therapy Webinar,Summer 2021
117,"Espy, Deborah D",Journal Publication,A clinical decision-making framework for the use of video gaming as a therapeutic modality,Frontiers in Neurology,Spring 2021
118,"Espy, Deborah D",Poster Presentation,Characterizing the feasibility of Progressive Gait Perturbation Protocol for Individuals Poststroke”. ,The 28th Digital Congress of the International Society of Biomechanics,Summer 2021
119,"Espy, Deborah D",Journal Publication,Development of an Inexpensive Harnessing System Allowing Independent Gardening for Balance Training for Mobility Impaired Individuals.,Sensors ,Summer 2021
120,"Espy, Deborah D",Presentation,A progressive treadmill perturbation protocol for assessment of reactive balance responses in stroke survivors,28th Digital Congress of the International Society of Biomechanics,Summer 2021
121,"Espy, Deborah D",Poster Presentation,Characterizing the feasibility of Progressive Gait Perturbation Protocol for Individuals Poststroke.,"Rehab Week Virtual Event, International Neurorehabilitation Symposium",Fall 2021
122,"Espy, Deborah D",Journal Publication,Intensity of Balance Challenge During Videogaming,Lower Extremity Review Magazine (lermagazine.com),Fall 2021
123,"Espy, Deborah D",Poster Presentation,Developing a Biomechanical Analysis for Softball Pitching. ,"American Society of Biomechanics, regional meeting",Fall 2021
124,"Espy, Deborah D",Poster Presentation,The Impact Balance Training Has on Kinematic Measurements Post Stroke. ,"American Society of Biomechanics, regional meeting",Fall 2021
125,"Espy, Deborah D",Presentation,Quantifying Gait Perturbation Responses Using the Hotelling T-Squared Statistic: A Novel Approach,"American Society of Biomechanics, regional meeting, ",Fall 2021
126,"Espy, Deborah D",Poster Presentation,Intensity of Balance Challenge During Videogaming,"American Society of Biomechanics, regional meeting",Fall 2021
127,"Espy, Deborah D",Poster Presentation,Quantifying Balance Through Step Length and Single-Leg Stance,American Society of Biomechanics,Fall 2021
128,"Espy, Deborah D",Poster Presentation,Incorporating Additive Manufacturing in Hand Splinting and Designing a New Palm Cone. ,"American Society of Biomechanics, regional meeting, ",Fall 2021
129,"Espy, Deborah D",Poster Presentation,Validating the Rate of Perceived Stability Scale to Measure Balance Training Intensity Among Older Adults. ,Poster International Society for Posture and Gait Research World Congress,Summer 2022
130,"Espy, Deborah D",Poster Presentation,Predictors of fall resistance during treadmill induced perturbations among people post stroke.,International Society for Posture and Gait Research Congress,Summer 2022
131,"Espy, Deborah D",Journal Publication,Increased comfortable gait speed is associated with improved gait biomechanics in persons with Parkinson's disease completing an 8-week aerobic cycling intervention,Parkinsonism & related disorders,Fall 2022
132,"Espy, Deborah D",Journal Publication,An 8-week aerobic cycling intervention elicits improved gait velocity and biomechanics in persons with Parkinson's disease,Gait & posture,Fall 2022
133,"Espy, Deborah D",Presentation,How Much Turnout is Too Much Turnout?,The International Association for Dance Medicine & Science,Fall 2022
134,"Espy, Deborah D",Presentation,Solving the Balance Problem in Medically Complex Patients across the Lifespan.,Combined Sections Meeting of the APTA,Spring 2023
135,"Espy, Deborah D",Journal Publication,Increased Comfortable Gait Speed Is Associated With Improved Gait Biomechanics in Persons With Chronic Stroke Completing an 8-Week Forced-Rate Aerobic Cycling Intervention: A Preliminary Study,American journal of physical medicine & rehabilitation,Spring 2023
136,"Espy, Deborah D",Poster Presentation,"Aerobic Cycling Elicits Improved Gait Velocity and Biomechanics in Persons with
Parkinson’s Disease.",Combined Sections Meeting of the APTA,Spring 2023
137,"Eyth, David William",Journal Publication,A Look at Conducting Qualitative Research With Nursing Students,SAGE Research Methods,Summer 2020
138,"Fuller, Kimberly Anne",Presentation,The Relational & Sexual Impact of Social Media ,The Ohio Center for Relationships & Sexual Health,Fall 2020
139,"Fuller, Kimberly Anne",Presentation,"Sex Therapists, When to Call Them?",Secrets of Sex: Unlocking Female Sexual Health for Healthcare Providers,Spring 2021
140,"Fuller, Kimberly Anne",Presentation,Gender Identity and Variation,Ohio Center for Relationships and Sexual Health,Spring 2021
141,"Fuller, Kimberly Anne",Presentation,Best Practices in Sex Therapy-Providing Sex Therapy to Queer Individuals,Ohio Center for Relationships & Sexual Health,Spring 2021
142,"Fuller, Kimberly Anne",Journal Publication,Exploring the Experiences and Responses of LGBTQ+ Adolescents to School Based Sex Education,Psychology in the Schools,Summer 2021
143,"Fuller, Kimberly Anne",Journal Publication,Bisexual Persons Report of Partner Binegativity and Relationship Satisfaction: The Significance of Partner Acceptance ,Journal of Bisexuality,Summer 2021
144,"Fuller, Kimberly Anne",Journal Publication,The omission and minimisation of sexual decision-making skills in US sex education textbooks,Sex Education,Summer 2021
145,"Fuller, Kimberly Anne",Chapter,Mental health care for LGBTQ+ persons,Gender Violence: Interpersonal Violence across the Spectrum ,Summer 2022
146,"Fuller, Kimberly Anne",Chapter,"Healthcare access and quality for transgender and non-binary 	individuals.",Gender Violence: Interpersonal Violence across the Spectrum,Summer 2022
147,"Fuller, Kimberly Anne",Journal Publication,The Silencing of LGBTQ+ Identities in Middle and High School Health Education Textbooks,Contemporary School Psychology,Fall 2022
148,"Gergis, Mary",Presentation,Role of nursing in response to pain and the opioid pandemic,Opioid Interprofessional Simulation Event,Fall 2020
149,"Gergis, Mary",Other Teaching Materials,Integrated a Quality Matters- informed course design in developing NUR 310 Nursing Research Course,"Cleveland State University, School of Nursing",Fall 2020
150,"Gergis, Mary",Other Teaching Materials,"Developed worksheets for each module in NUR 305, NUR 415, and NUR 310. The worksheet questions linked the concepts discussed in each module together and also related them to the concepts discussed in previous modules. Answering the questions promoted students' critical thinking, analysis, and synthesis skills and deepened the students' understanding of the course materials. ",Cleveland State University,Fall 2020
151,"Gergis, Mary",Other Teaching Materials,Developed 11 interactive case studies for NUR 305. Each case study corresponds to one of the NUR 305 modules. The interactive case studies were closely tailored to their corresponding modules and provide the students with an opportunity to apply what they learn in each module in simulated real-life scenarios.,Cleveland State University,Fall 2020
152,"Gergis, Mary",Other Teaching Materials,Integrated a Quality Matters- informed course design in developing NUR 305 Medical Surgical Nursing II Course,Cleveland State University,Fall 2020
153,"Gergis, Mary",Other Teaching Materials,Rebuilt the NUR 310 modules and lectures to simplify the content and make it more practical and centered around evidence-based practice,Cleveland State University,Spring 2021
154,"Gergis, Mary",Creative Production,Online Tools for Engaged Teaching & Learning,CSU Center of Faculty Excellence & Center for eLearning the Keep Teaching Series,Spring 2021
155,"Gergis, Mary",Creative Production,Developed 12 interactive case studies for NUR 415. Each 1-2 case studies correspond to one of the NUR 415 modules. The interactive case studies were closely tailored to their corresponding modules and provide the students with an opportunity to apply what they learn in each module in a simulated real-life scenarios.,Cleveland State University,Spring 2021
156,"Gergis, Mary",Other Teaching Materials,Integrated a Quality Matters- informed course design in developing NUR 415 Medical surgical Nursing III Course,Cleveland State University,Spring 2021
157,"Gergis, Mary",Other Teaching Materials,"Developed a step-by-step guide for new clinical faculty. The guide detail the tasks to be completed by the clinical faculty at the start of the semester, weekly, at the middle of the semester, and at the end of the semester.",Cleveland State University,Spring 2021
158,"Gergis, Mary",Other Teaching Materials,Developed NUR 416 & 306 Blackboard sites to include detailed instructions for students and clinical faculty to ensure consistency among the clinical groups and make the expectations clear for students and new clinical faculty.,Cleveland State University,Spring 2021
159,"Gergis, Mary",Presentation,"The faculty served as a panelist at the Camera Optional Faculty Panel. The panel discussed how to engage students who cannot, or choose not to, turn on their cameras during synchronous class meetings. Faculty shard their methods to show how these students can still be engaged members of class discussions. One of the outcomes of the Camera Optional Faculty Panel is the development of a list of Online Tools for Engaged Teaching & Learning published at https://www.csuohio.edu/cfe/suggested-tools-for-remote-instruction.",CSU Center of Faculty Excellence & Center for eLearning the Keep Teaching Series,Spring 2021
160,"Gergis, Mary",Other Teaching Materials,"Incorporated ATI tutorials, video case studies and skill modules into the related course modules",Cleveland State University,Spring 2021
161,"Gergis, Mary",Presentation,The faculty held a webinar on the implementation of Quality Matters-Informed Online Course Design for Promoting Students’ Engagement. The presentation demonstrated the impact of deliberate course design in the pursuit of actively engaging nursing students in online course settings. The presenter showcased a research-based pragmatic approach and best practices for creating QM-informed online courses with a focus on Quality matters-based strategies that could be integrated into online course design to foster a high level of student engagement.,CSU Center of Faculty Excellence the Faculty Champions Series & Center for eLearning the Keep Teaching Series,Spring 2021
162,"Gergis, Mary",Book,"Invited Book Reviewer- Polit and Beck (2021): Essentials of Nursing Research, Tenth Edition",Lippincott Williams and Wilkins,Spring 2021
163,"Gergis, Mary",Creative Production,Developed an Evidence Based Practice Project assignment that followed a stair-step approach and allowed the students apply what they learn in a simulated life scenario. ,Cleveland State University,Spring 2021
164,"Gergis, Mary",Presentation,Podium Presentation: Quality Matters-Informed Online Course Design for Promoting Student Engagement,2021 National League of Nursing (NLN) Education Summit,Fall 2021
165,"Gergis, Mary",Other Teaching Materials,Revised and refined NUR 305 and NUR 415 exams and incorporated case study questions in line with the NCLEX new generation.,Cleveland state university,Spring 2022
166,"Gergis, Mary",Other Teaching Materials,"Created a Panopto video for each module of NUR 310, NUR 305 and NUR 415 ",Cleveland state university,Spring 2022
167,"Gergis, Mary",Other Teaching Materials,"Developed a module handout and worksheet for each module of NUR 310, NUR 305 and NUR 415 courses.",Cleveland State University,Spring 2022
168,"Gergis, Mary",Presentation,A case study of determining best nursing practice,Mid-East Honors Association 2022: New beginnings,Spring 2022
169,"Gergis, Mary",Journal Publication,"Gibson, M., Gergis, M. (2023). Caring in nursing education: A contemporary issue. Journal of Nursing Education and Practice, 13 (5), 25-28. https://doi.org/10.5430/jnep.v13n5p25",Journal of Nursing Education and Practice,Spring 2023
170,"Gergis, Mary",Journal Publication,"Gergis, M., Bekhet, A., Kozlowski-Gibson, M., Hovland, C., Dahlin, C., Ent, M., & Thoman, J. (2023). Resourcefulness and stress among hospice and palliative nurses: the role of positive thinking. International journal of palliative nursing, 29(2), 91–99. https://doi.org/10.12968/ijpn.2023.29.2.91",International Journal of Palliative Nursing,Spring 2023
171,"Gergis, Mary",Presentation,"Gibson, M., Gergis, M. (2023). Caring in Nursing Education. Accepted as Oral Presentation (Virtual) at the International Nursing Science Conference, London, UK.",International Nursing Science Conference,Spring 2023
172,"Gibson, Maria Kozlowski",Journal Publication,"Gergis, M., Bekhet, A., Gibson, M. K., Hovland, C., Dahlin, C., Ent, M., & Thoman, J. (2023). Resourcefulness and stress among hospice and palliative nurses: the role of positive thinking. International Journal of Palliative Nursing, 29, 91–99.http://doi: 10.12968/ijpn.2023.29.2.91",International Journal of Palliative Nursing,Spring 2023
173,"Giuffre, Suzanne M",Journal Publication,Population Health Content within Professional Entry-Level Physical Therapist Education Programs,Journal of Physical Therapy Education,Fall 2020
