#,Name,Type,Title,Outlet,Semester
32,"Mika, Karin",Other,Lessons of the Past and the Humanitarian Outreach of Poland to Ukrainian Refugees,AALS Section on International Law,Summer 2022
33,"Mika, Karin",Journal Publication,The Power of Vulnerability in Promoting a Sense of Belonging: The Perspective of a First-Generation American ,The Second Draft,Fall 2022
34,"Mika, Karin",Journal Publication,Bans on Bags or Bans on Bans?:  A Home Rule Analysis of Recent Attempts in Ohio to Enact Legislation Eliminating Plastic Bags from Stores,Cleveland State Law Review,Spring 2023
35,"Mika, Karin",Journal Publication,Into the Spotlight: An Interview with Ralph Brill,Journal of the Legal Writing Institute,Spring 2023
36,"Mika, Karin",Proceedings Publication,Friend or Foe?  Lexis Artificial Intelligence (AI) in Legal Writing,Rocky Mountain Legal Writing Conference,Spring 2023
37,"Mika, Karin",Journal Publication,The Concept of Lists in Legal Drafting: How Brain Science Can Help the Student Drafter Put Together Documents that are easier to read and more easily comprehended,Scribes,Spring 2023
38,"O'Neill, Kevin F",Presentation,The Future of Public Protest,American Bar Association Nationwide Webinar,Summer 2020
39,"O'Neill, Kevin F",Other,A First Amendment Lesson From the Suffragists,"The ""Your Witness"" Blog at Cleveland-Marshall College of Law",Fall 2020
40,"O'Neill, Kevin F",Presentation,The Regulation of Public Protest,Annual Meeting of the County Counselors Association of Kansas,Fall 2020
41,"O'Neill, Kevin F",Presentation,"The Press, the Law, and Protesters",Cleveland Metropolitan Bar Association CLE Seminar,Fall 2020
42,"Ray, Brian Edward",Journal Publication,"Dismemberment or Amendment?: Richard Albert, Constitutional Amendments: Making, Breaking and Changing Constitutions",American Society of Comparative Law,Fall 2020
43,"Ray, Brian Edward",Journal Publication,"Review: Richard Albert, Constitutional Amendments: Making, Breaking and Changing Constitutions",American Society of Comparative Law,Fall 2020
44,"Robertson, Heidi Gorovitz",Presentation,"The New “Waters of the United States” Rule and Challenges Thereto, ‘Water in the Courts’ ",20th Annual Great Lakes Water Conference,Fall 2020
45,"Robertson, Heidi Gorovitz",Chapter,"Local Jurisdictions and Variations in State Law in the Marcellus Shale Region,  (Sabina Eva Dietrick and Ilia Murtazashvili, eds.) ","When Fracking Comes to Town: Governance, Planning and Economic Impacts of the US Shale Boom",Spring 2021
46,"Robertson, Heidi Gorovitz",Presentation,"Global Lessons on the Rights of Nature: How the World Might Help U.S. Local Governments Protect the Environment"", at Considering Obstacles to State and Local Laws about Environmental Sustainability, , ",2021 AALS Annual Meeting,Spring 2021
47,"Robertson, Heidi Gorovitz",Journal Publication,"Hydraulic Fracturing, Unitization, and the Role of the Dissenting Landowner",Georgetown Environmental Law and Policy Review,Summer 2022
48,"Robertson, Heidi Gorovitz",Book,Strategies and Techniques for Teaching Environmental Law,Wolters Kluwer (Aspen Law and Business),Summer 2022
49,"Robertson, Heidi Gorovitz",Presentation,Who Decides? Forced Pooling and Unitization of Landowner Interests – An Update for Ohio,National Association of Royalty Owners 2022 Annual Convention,Fall 2022
50,"Robertson, Heidi Gorovitz",Presentation,"Lessons for crafting a state constitution-based right to a clean environment, , October 28, 2022.",Pace Environmental Law Review 2022 Symposium on Environmental Constitutionalism,Fall 2022
51,"Robertson, Heidi Gorovitz",Presentation,US Approaches to Environmental Rights: Focus on Sub-National and Local Initiatives,Ireland/U.S. Environmental Law Symposium,Fall 2022
52,"Robertson, Heidi Gorovitz",Presentation,"Systemic Issues in Enforcement of US Climate Regulation, Ireland/U.S. Environmental Law Symposium,,  ", Ireland/U.S. Environmental Law Symposium,Fall 2022
53,"Robertson, Heidi Gorovitz",Presentation,Rationalizing state preemption of energy-related decision-making for local jurisdictions,Vermont Environmental Legal Scholarship Colloquium,Fall 2022
54,"Robertson, Heidi Gorovitz",Presentation,Irrationalizing the Local Role in Energy Development Projects: Oil and Gas v. Wind and Solar in Ohio, Annual Meeting,Spring 2023
55,"Robertson, Heidi Gorovitz",Presentation,"State Preemption of Local Control in Energy Development Decisions in Ohio, A May 12, 2023",y Annual Meeting ,Spring 2023
56,"Robertson, Heidi Gorovitz",Chapter,"Municipal Regulation of Oil and Gas-Related Activities, in The Law of Environmental Protection, 9th Edition, Environmental Law Institute (2022)","he Law of Environmental Protection, 9th Edition",Spring 2023
57,"Robertson, Heidi Gorovitz",Chapter,"Assailed: The Paradoxical State of the Commons in the United States, in Property: Meeting the Challenge of the Commons, Springer Publishing, (with Monica Epperson) (March 2023)",Common Core of European Private Law,Spring 2023
58,"Sagers, Christopher L",Book,"Apple, Antitrust, and Irony",Harvard University Press,Summer 2021
59,"Sagers, Christopher L",Chapter,"Bert Foer, the American Antitrust Institute, and the Antitrust “Consensus”  (; forthcoming 2020) ",BERT FOER: LIBER AMICORUM,Summer 2022
60,"Sagers, Christopher L",Journal Publication,"The Alston Case: Why the NCAA Did Not Deserve Antitrust Immunity and Did Not Succeed Under a Rule-of-Reason Analysis,",George Mason Law Review,Summer 2022
61,"Sagers, Christopher L",Journal Publication,"Platforms, American Express, and the Problem of Complexity in Antitrust",NEBRASKA L. REV.,Summer 2022
62,"Sterio, Milena",Journal Publication,Secession and “Frozen Conflicts:” The Nagorno-Karabakh Region,German Yearbook of International Law,Summer 2022
63,"Sterio, Milena",Journal Publication,"The Karadzic Genocide Conviction: Inferences, Intent, and the Necessity to Redefine Genocide",Emory Journal of International Law,Summer 2022
64,"Sterio, Milena",Journal Publication,INDIVIDUAL CRIMINAL RESPONSIBILITY FOR THE DESTRUCTION OF RELIGIOUS AND HISTORIC BUILDINGS: THE AL MAHDI CASE,Case Western Journal of International Law,Summer 2022
65,"Sterio, Milena",Journal Publication,Women at International Criminal Tribunals,Law and Contemporary Problems,Summer 2022
66,"Sterio, Milena",Presentation,The Trump Administration and Foreign Affairs and National Security Law Issues,Southeast Law Schools Association Annual Meeting,Summer 2022
67,"Sterio, Milena",Journal Publication,Trump Administration and the International Criminal Court: A Misguided New Policy,Case Western Journal of International Law,Summer 2022
68,"Sterio, Milena",Journal Publication,Future of International Courts and Tribunals in the Wake of the Ukraine Crisis,Case Western Journal of International Law,Fall 2022
69,"Sterio, Milena",Journal Publication,"Globalization, State Sovereignty, and the Development of International Criminal Law",George Washington International Law Review,Fall 2022
70,"Sterio, Milena",Journal Publication,"U.S. Recognition Practice: Realism, Legitimacy or Pragmatism",George Mason International Law Journla,Fall 2022
71,"Sterio, Milena",Journal Publication,The Ukraine War and the Legitimacy of the International Criminal Court,American University Law Review,Fall 2022
72,"Sundahl, Mark J",Journal Publication,The Lunar Legal Landscape: Challenges and Opportunities,Air & Space Law,Fall 2021
73,"Sundahl, Mark J",Chapter,"Business, Legal and Policy Issues in Relation to Increased Private Space Activity",The Oxford Encyclopedia of Planetary Science,Summer 2022
